exp_id,arm,style,checkpoint_step,prompt_id,seed,lora_weight,output_path,output_sha256,nearest_training_item,nearest_training_dhash,nearest_holdout_item,nearest_holdout_dhash,max_clip_cosine_to_training,most_similar_training_item_clip,near_copy_flag
EXP-026,EXP-023,minimal-geometric,150,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP2-shared__seed1337__w0p7.png,4e7e6843c4d0c4ab6e7e609010430535a75d7ea76eb358730eb7d5868210b0be,DS-0040,25,DS-0103,31,0.475805,DS-0038,False
EXP-026,EXP-023,minimal-geometric,150,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP2-shared__seed1337__w1.png,943f6f85ed9aaaaca26c0808c285cebac0c3381593db9053f7db0bb9e624b650,DS-0001,27,DS-0103,28,0.454022,DS-0002,False
EXP-026,EXP-023,minimal-geometric,300,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP1-style__seed42__w0p7.png,4c52c51f88d84e572bc088373dc686c6c335f39707a78dbc63029dfe3756c3ac,DS-0028,21,DS-0115,27,0.430643,DS-0050,False
EXP-026,EXP-023,minimal-geometric,300,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP1-style__seed42__w1.png,5e408e84c81656f349bfb45b44241e820b9079e8ecfce9cc49a4902b54e1c81d,DS-0031,24,DS-0077,28,0.599634,DS-0051,False
EXP-026,EXP-023,minimal-geometric,300,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP1-style__seed1337__w0p7.png,e85dd25c7d938a69ff302b2a6f56d93e0cf5cca10b1578b747ba4afc462cf02a,DS-0030,23,DS-0103,28,0.630379,DS-0051,False
EXP-026,EXP-023,minimal-geometric,300,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP1-style__seed1337__w1.png,90a249cd145f2823fd32fbcf529a90c7cd8db8c020e68e615df2be0b0c25420e,DS-0030,18,DS-0079,28,0.679857,DS-0051,False
EXP-026,EXP-023,minimal-geometric,300,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP2-shared__seed42__w0p7.png,e30f159be84985a731c6d364e641e6cbb349af4526e6a4e61492105f0cb739b2,DS-0050,21,DS-0088,24,0.461367,DS-0043,False
EXP-026,EXP-023,minimal-geometric,300,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP2-shared__seed42__w1.png,89d69de9e6cdd69cfc174152d35f1a72f8907aea6101ce741fb2348b83941e13,DS-0004,22,DS-0048,22,0.680022,DS-0038,False
EXP-026,EXP-023,minimal-geometric,300,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP2-shared__seed1337__w0p7.png,6cc84e6f7c6e028fd60a14e5930fc7ed66f72bf742dced25e2e6b717f2135949,DS-0012,26,DS-0088,30,0.504167,DS-0038,False
EXP-026,EXP-023,minimal-geometric,300,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00300__VP2-shared__seed1337__w1.png,b808fcc3d662a9b419da80195b7f447def0e8ed3adc509666be02938acb48723,DS-0013,22,DS-0079,27,0.664145,DS-0038,False
EXP-026,EXP-024n12,minimal-geometric,150,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP1-style__seed42__w0p7.png,95c72005d18c49ac16ffd722c4d80802a8a1cf005164ced84fd9b6a777328460,DS-0015,23,DS-0120,28,0.520264,DS-0006,False
EXP-026,EXP-024n12,minimal-geometric,150,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP1-style__seed42__w1.png,1a00f54b684c52efef5bbdab3c8371da1a9069fc89fd32dae0a192c021ca1ebf,DS-0006,22,DS-0115,24,0.463293,DS-0042,False
EXP-026,EXP-024n12,minimal-geometric,150,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP1-style__seed1337__w0p7.png,5355f40bfeb080c4baf9c15e0083ca6aee9bd77728310eb6a1682255ca2acd90,DS-0006,23,DS-0079,28,0.510693,DS-0051,False
EXP-026,EXP-024n12,minimal-geometric,150,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP1-style__seed1337__w1.png,b90dc4ed285a43897b3a8aa944859859516e369e9069ebdbac0c70f0b1ca036e,DS-0003,26,DS-0120,30,0.583745,DS-0004,False
EXP-026,EXP-024n12,minimal-geometric,150,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP2-shared__seed42__w0p7.png,c4f201135d3c0a9f1514ee627580a76b2fbb54174f830198567cf377bcad6bda,DS-0028,20,DS-0048,30,0.387555,DS-0043,False
EXP-026,EXP-024n12,minimal-geometric,150,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP2-shared__seed42__w1.png,9ce940a09df0ef38a3b242a59acae074215084cf7d8e7e7dfa1391fa2cea99fa,DS-0017,22,DS-0115,28,0.445856,DS-0043,False
EXP-026,EXP-024n12,minimal-geometric,150,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP2-shared__seed1337__w0p7.png,ad736674d1b4c36fce4c779ad2410d6e0b56a32059fe963822ae45eb4ce218ab,DS-0040,22,DS-0103,30,0.515902,DS-0038,False
EXP-026,EXP-024n12,minimal-geometric,150,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00150__VP2-shared__seed1337__w1.png,8d129511ef4f53e1a01f96960188dedcfc498c37fd0bc2198df97253e616b1c7,DS-0027,25,DS-0077,33,0.53396,DS-0038,False
EXP-026,EXP-024n12,minimal-geometric,300,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00300__VP1-style__seed42__w0p7.png,93eedae7fb5bb30192ed7ac9a93a1a9d2d30d79f6fe4516b3e01a48a17fdc10d,DS-0013,22,DS-0120,29,0.529389,DS-0006,False
EXP-026,EXP-024n12,minimal-geometric,300,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-024n12__minimal-geometric__ck00300__VP1-style__seed42__w1.png,b39876b4a3d9057ed348ba23b268c273a40d331e7b7e1bdc973dd36976aebdab,DS-0030,22,DS-0048,29,0.526592,DS-0004,False
